etf,ticker,weight,company_name,sector
BPAY,BPAY,4.55%,SCHW,
BPAY,BPAY,4.20%,PYPL,
BPAY,BPAY,3.87%,HOOD,
BPAY,BPAY,3.86%,COF,
BPAY,BPAY,3.77%,GPN,
BPAY,BPAY,3.52%,XYZ,
BPAY,BPAY,3.42%,COIN,
BPAY,BPAY,3.38%,NU,
BPAY,BPAY,2.89%,AXP,
BPAY,BPAY,2.85%,MELI,
BPAY,BPAY,2.70%,SE,
BPAY,BPAY,2.69%,LC,
BPAY,BPAY,2.51%,CRCL,
BPAY,BPAY,2.35%,V,
BPAY,BPAY,2.30%,ETOR,
BPAY,BPAY,2.26%,MA,
BPAY,BPAY,2.22%,FIS,
BPAY,BPAY,2.21%,BLSH,
BPAY,BPAY,2.20%,KLAR,
BPAY,BPAY,2.16%,AFRM,
BPAY,BPAY,,,
BPAY,BPAY,,,
BPAY,BPAY,,,
DIA,DIA,10.31%,GS,
DIA,DIA,7.40%,CAT,
DIA,DIA,6.59%,MSFT,
DIA,DIA,4.86%,HD,
DIA,DIA,4.76%,AXP,
DIA,DIA,4.42%,V,
DIA,DIA,4.37%,SHW,
DIA,DIA,4.26%,UNH,
DIA,DIA,4.16%,AMGN,
DIA,DIA,4.05%,JPM,
DIA,DIA,3.99%,IBM,
DIA,DIA,3.97%,MCD,
DIA,DIA,3.60%,TRV,
DIA,DIA,3.51%,AAPL,
DIA,DIA,3.29%,CRM,
DIA,DIA,3.25%,AMZN,
DIA,DIA,2.57%,BA,
DIA,DIA,2.56%,HON,
DIA,DIA,2.54%,NVDA,
DIA,DIA,2.42%,JNJ,
ETF,BPAY,4.55%,BPAY,SCHW
ETF,BPAY,4.20%,BPAY,PYPL
ETF,BPAY,3.87%,BPAY,HOOD
ETF,BPAY,3.86%,BPAY,COF
ETF,BPAY,3.77%,BPAY,GPN
ETF,BPAY,3.52%,BPAY,XYZ
ETF,BPAY,3.42%,BPAY,COIN
ETF,BPAY,3.38%,BPAY,NU
ETF,BPAY,2.89%,BPAY,AXP
ETF,BPAY,2.85%,BPAY,MELI
ETF,BPAY,2.70%,BPAY,SE
ETF,BPAY,2.69%,BPAY,LC
ETF,BPAY,2.51%,BPAY,CRCL
ETF,BPAY,2.35%,BPAY,V
ETF,BPAY,2.30%,BPAY,ETOR
ETF,BPAY,2.26%,BPAY,MA
ETF,BPAY,2.22%,BPAY,FIS
ETF,BPAY,2.21%,BPAY,BLSH
ETF,BPAY,2.20%,BPAY,KLAR
ETF,BPAY,2.16%,BPAY,AFRM
ETF,BPAY,,BPAY,
ETF,BPAY,,BPAY,
ETF,BPAY,,BPAY,
ETF,DIA,10.31%,DIA,GS
ETF,DIA,7.40%,DIA,CAT
ETF,DIA,6.59%,DIA,MSFT
ETF,DIA,4.86%,DIA,HD
ETF,DIA,4.76%,DIA,AXP
ETF,DIA,4.42%,DIA,V
ETF,DIA,4.37%,DIA,SHW
ETF,DIA,4.26%,DIA,UNH
ETF,DIA,4.16%,DIA,AMGN
ETF,DIA,4.05%,DIA,JPM
ETF,DIA,3.99%,DIA,IBM
ETF,DIA,3.97%,DIA,MCD
ETF,DIA,3.60%,DIA,TRV
ETF,DIA,3.51%,DIA,AAPL
ETF,DIA,3.29%,DIA,CRM
ETF,DIA,3.25%,DIA,AMZN
ETF,DIA,2.57%,DIA,BA
ETF,DIA,2.56%,DIA,HON
ETF,DIA,2.54%,DIA,NVDA
ETF,DIA,2.42%,DIA,JNJ
